grid_id,district_name,base_year,target_year,year,risk_state,prediction_scope,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_028429,浈江区,2023,2024,2023,1,non_high_to_high,0.4219498054692704,-4.78430664994353,-0.0616846629617667,-1.233588798780224,0.4153327116847576,0.2857142857142857,low,LL,0,7,0.45681955960951626,0.9833647206528563,1
G_017419,乳源瑶族自治县,2023,2024,2023,1,non_high_to_high,0.4306654969804645,0.7434220845885293,-0.085666251418439,-0.6607431805092037,0.5257455821320377,1.0,high,NS,0,8,0.4540559094069049,0.9832077840552417,1
G_002470,边缘争议区,2023,2024,2023,1,non_high_to_high,0.4327216326395661,0.6983974221444523,-0.0592950745699523,-0.301278993635918,0.4505150518830784,0.5714285714285714,low,NS,0,7,0.45129531023761243,0.9830508474576272,1
G_018696,乐昌市,2023,2024,2023,1,non_high_to_high,0.4039001005510366,-4.820629191778725,-0.0884811850196344,-1.533825583563015,0.4628982624932527,0.75,low,NS,0,8,0.4508224193771619,0.9828939108600125,1
G_063188,翁源县,2023,2024,2023,1,non_high_to_high,0.4347183563176493,0.6656539084931872,-0.0307642792099083,-0.0037709151932007,0.5282319892049331,0.8571428571428571,mid,NS,0,7,0.4506941761942018,0.982736974262398,1
G_073786,南雄市,2023,2024,2023,1,non_high_to_high,0.42733729141435,0.5682502700973713,-0.0315819758963648,-0.0576241166994816,0.4740887161548994,0.8333333333333334,mid,NS,0,6,0.4497227517359059,0.9825800376647834,1
G_077219,南雄市,2023,2024,2023,1,non_high_to_high,0.4362491149909878,0.6250167912956495,-0.0229066614280545,-0.1126595478054676,0.465316235569629,0.6666666666666666,low,NS,0,3,0.4496565477471692,0.9824231010671689,1
G_000180,乳源瑶族自治县,2023,2024,2023,1,non_high_to_high,0.4302912645585875,0.8784751775765836,-0.0565618663027859,-0.2528694244907241,0.4199062032893361,0.1428571428571428,low,LL,0,7,0.4490247446364489,0.9822661644695543,1
G_003231,乐昌市,2023,2024,2023,1,non_high_to_high,0.4346407736897613,0.88793755219655,-0.0295056905864741,0.0485330690520822,0.4583420131170214,0.625,low,NS,0,8,0.4489860471149632,0.9821092278719398,1
G_013623,乳源瑶族自治县,2023,2024,2023,1,non_high_to_high,0.4052736137852633,-6.874848800275315,-0.0894261324348937,-1.505033917318074,0.3925464990807569,0.375,low,LL,0,8,0.44869545084259044,0.9819522912743252,1
G_055537,始兴县,2023,2024,2023,1,non_high_to_high,0.4361724593560452,0.7755574145605493,-0.0281066935179786,-0.1005575999724902,0.4302174734182555,0.3333333333333333,low,NS,0,6,0.44787402517031,0.9817953546767106,1
G_048238,始兴县,2023,2024,2023,1,non_high_to_high,0.4317832448775213,0.7329957738747472,-0.0436471336466763,-0.132163801379892,0.428637149095173,0.4285714285714285,low,LL,0,7,0.4463272156325024,0.981638418079096,1
G_035102,翁源县,2023,2024,2023,1,non_high_to_high,0.4164744761546372,-0.0343360687256453,-0.1607374064458451,-1.835481252682876,0.4881532173549824,0.8333333333333334,mid,NS,0,6,0.44520133874567464,0.9814814814814815,1
G_073950,南雄市,2023,2024,2023,1,non_high_to_high,0.4264430642506864,0.7043240203112414,-0.0146869188503797,0.1491956966168206,0.4289730023179402,0.25,low,LL,0,4,0.44498318084592126,0.9813245448838669,1
