grid_id,district_name,base_year,target_year,year,risk_state,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_028614,曲江区,2023,2024,2023,0,0.2807523571122043,-9.834003718393362,-0.4002838733395572,-12.103083684484677,0.413291676488239,0.125,low,LL,0,8,0.15784806674584692,0.8901098901098901,0
G_055718,翁源县,2023,2024,2023,0,0.1880759070190957,-12.619623457069851,-0.1234004261528312,-1.5672910495408274,0.2785364420969121,0.0,low,LL,0,8,0.1561246902668753,0.8846153846153846,0
G_028428,浈江区,2023,2024,2023,0,0.3019730798186625,-5.196358549221936,-0.0618089176757102,-0.1476644753629932,0.465617127138975,0.4285714285714285,low,LL,0,7,0.15495983944247654,0.8791208791208791,0
G_057426,翁源县,2023,2024,2023,0,0.266065131827819,-10.802452482586697,-0.1689114326620382,-4.441251376047714,0.4138013047606367,0.5,low,LL,0,8,0.15484203910191782,0.8736263736263736,0
G_060601,新丰县,2023,2024,2023,0,0.3051082290971045,-9.660596508851654,0.0865135070252414,6.146091220744832,0.3431182839732476,0.25,low,LL,0,8,0.15417997927184812,0.8681318681318682,0
G_027814,浈江区,2023,2024,2023,0,0.2341350535581842,-12.99542726304159,-0.0481431640737817,1.0342022869641685,0.2227124225703699,0.0,low,LL,0,6,0.14209728572014255,0.8626373626373627,0
G_026968,曲江区,2023,2024,2023,0,0.2870975504307169,-11.516151067145806,-0.0355798572009259,0.1235923012139537,0.3086003109012141,0.0,low,LL,0,8,0.14183857056650387,0.8571428571428572,0
G_027173,曲江区,2023,2024,2023,0,0.3086499696451187,-10.155355230432567,-0.0077287468534372,2.092798613401744,0.3412741827015774,0.25,low,LL,0,8,0.14022077291655105,0.8516483516483516,0
G_024587,武江区,2023,2024,2023,0,0.3004911159953352,-11.33676619783584,-0.0821540585328702,-1.2445392150452914,0.3938955048145449,0.0,low,LL,0,8,0.13876256424433794,0.8461538461538461,0
G_060600,新丰县,2023,2024,2023,0,0.3066836116881017,-7.350582652083728,0.0725287997098332,6.120829179716076,0.3301787938068795,0.125,low,LL,0,8,0.1352322268057646,0.8406593406593407,0
G_026969,曲江区,2023,2024,2023,0,0.2848307536882452,-10.765991092116304,-0.0609095647301814,0.382542706850117,0.3528754205128024,0.25,low,LL,0,8,0.13427982425756776,0.8351648351648352,0
G_019671,乐昌市,2023,2024,2023,0,0.2539405708191742,-6.48816800993748,-0.1533633524704108,-2.825543796369125,0.4077745900692734,0.5,low,LL,0,8,0.12976768151808496,0.8296703296703296,0
G_027813,浈江区,2023,2024,2023,0,0.228209155449744,-12.43151450780374,-0.016498341245856,2.4220910846560813,0.3060131670997363,0.2,low,LL,0,5,0.12846818830270898,0.8241758241758241,0
G_027819,浈江区,2023,2024,2023,0,0.1724402829975788,-8.36637673414228,-0.1513188474194177,-2.247796610001739,0.3675346430477904,0.25,low,LL,0,8,0.12827679121358912,0.8186813186813187,0
G_026971,曲江区,2023,2024,2023,0,0.2596293565963636,-12.61188943233658,-0.1854356313899102,-4.206519733041281,0.392788834556353,0.375,low,LL,0,8,0.1253423792700354,0.8131868131868132,0
